Open,Year,High,Month,Low,Close
24900,2013,24970,2,24650,24680
24760,2013,24980,2,24500,24860
24210,2013,24750,2,24010,24070
24950,2013,25040,2,24600,24710
24790,2013,25310,2,24730,25200
24310,2013,24470,2,24110,24230
25170,2013,25260,2,24910,25020
24360,2013,24940,2,24230,24850
23570,2013,24080,1,23490,24080
23050,2013,23840,1,22950,23840
22690,2013,23130,1,22650,22850
23380,2013,23450,1,22900,22940
23050,2013,23210,1,22740,23210
22470,2013,22670,1,22270,22550
22650,2013,23070,1,22330,22330
22780,2013,23300,1,22730,22900
23490,2013,23500,1,22590,22590
23240,2013,23480,1,22910,23430
22700,2013,23190,1,22170,22740
23410,2013,23420,1,22710,22720
23860,2013,24090,1,23770,23820
22790,2013,23650,1,22790,23640
22800,2013,22940,1,22510,22560
22610,2013,22910,1,22600,22820
22690,2013,22950,1,22580,22910
22350,2013,22890,1,22150,22810
22500,2013,22530,1,22030,22200
21480,2012,21970,12,21450,21840
21300,2012,21560,12,21220,21270
20890,2012,21170,12,20640,21170
20350,2012,20770,12,20290,20770
20590,2012,20710,12,20050,20090
20800,2012,20880,12,20310,20370
21040,2012,21330,12,20820,21230
20610,2012,20840,12,20540,20830
20320,2012,20910,12,20220,20500
20060,2012,20120,12,19820,19920
19980,2012,20260,12,19890,20200
19800,2012,19860,12,19610,19790
19360,2012,19700,12,19340,19640
19290,2012,19460,12,19140,19420
19240,2012,19360,12,19120,19130
19200,2012,19420,12,19050,19250
18690,2012,19280,12,18690,19250
18950,2012,18990,12,18680,18690
18800,2012,19090,12,18730,19010
18600,2012,18800,11,18500,18720
18490,2012,18520,11,18250,18490
18460,2012,18640,11,18400,18430
18030,2012,18500,11,18030,18380
18000,2012,18220,11,17930,18030
